indicator,tone,b_tone,se_tone,t_tone,p_tone,b_bill,t_bill,n,r2
dDXY,lex_net,0.021208534136126472,0.022131311004489094,0.9583044642870254,0.3379092533359299,0.03437524798636645,4.093593238368048,302,0.07999805704926288
dDXY,fb_sent,0.02810407339083444,0.023473058912506783,1.1972906256312503,0.23119329700460134,0.035670853772713104,4.248904543814956,302,0.08176109976805856
dDXY,fb_sim,0.02866261021152697,0.02114096711445029,1.3557851945162662,0.17516752335591612,0.03578750438520194,4.2341823051950875,302,0.08191719185297197
d10s2s,lex_net,-0.15374880482422681,0.19196946621316788,-0.8009023927456262,0.4231881548005466,-0.43365096417654536,-5.7086927078475505,302,0.10788571312570827
d10s2s,fb_sent,-0.19651623745915456,0.2274192473626385,-0.8641143603197026,0.3875250710613173,-0.4428875722643153,-5.860587250643495,302,0.10871518284351289
d10s2s,fb_sim,-0.1670723236421246,0.22085939132635196,-0.7564646567156879,0.44937065509554086,-0.44286228512740833,-5.84506968301742,302,0.10812523885428493
dDGS1,lex_net,0.43456582016803635,0.1982501408204876,2.1920076241536135,0.028378956122933514,0.9668675955891833,9.39560072440729,302,0.3611046084093359
dDGS1,fb_sent,-0.35236932690152983,0.2821267924913874,-1.248975057596796,0.21167419679825983,0.9733956002773234,9.598791155903251,302,0.3588320230990152
dDGS1,fb_sim,-0.33569936494393604,0.2318267977029966,-1.4480610881491582,0.14759996679781404,0.9725299835756867,9.607155793152995,302,0.358415357228989
dGmV,lex_net,0.1689468015567315,0.055616342849313674,3.0377186435015004,0.0023837640560199916,0.0011409177861754494,0.058057895960623176,302,0.02960464757165382
dGmV,fb_sent,0.03538597943238194,0.07107976562210981,0.4978347793169271,0.6186005000851629,0.007396494981607896,0.3771398007764504,302,0.011630299065310767
dGmV,fb_sim,0.07462134828122989,0.0693762435226277,1.075603758466563,0.2821045057982531,0.008515019821895026,0.4371399023691193,302,0.014484280045444109
