indicator,tone,b_tone,se_tone,t_tone,p_tone,b_bill,t_bill,n,r2
dDXY,lex_net,-0.016500987055009277,0.02361443787391353,-0.6987668791065164,0.4846977304116402,0.03704396248876507,4.531873293752561,307,0.08674364655873068
dDXY,fb_sent,0.03939272133275515,0.024681347667966678,1.5960522846117517,0.11047712054351065,0.03597212547461922,4.3882425823745494,307,0.09264418847628841
dDXY,fb_sim,0.03558577078446101,0.026811246913770667,1.3272702645613852,0.1844192964789364,0.03678233513479561,4.453386653892187,307,0.09036580865722066
d10s2s,lex_net,0.03949613584313015,0.24168177077170755,0.16342207240958267,0.8701861252236697,-0.43805120129410924,-5.908490435620828,307,0.10816647418889735
d10s2s,fb_sent,0.048195096282264205,0.2556801120614713,0.18849763438259529,0.8504865697688097,-0.43863238276556105,-5.893288728987493,307,0.10820252742391956
d10s2s,fb_sim,-0.12233919241121782,0.2813351182937804,-0.4348521903457029,0.6636697193875394,-0.4373625729639701,-5.904620672624744,307,0.1087167100299159
dDGS1,lex_net,-0.17101312268289548,0.2401861666884782,-0.7120023814889379,0.47646330131064507,0.9596862076031534,9.705621769976663,307,0.3469005275639616
dDGS1,fb_sent,-0.09748004107345179,0.2805136033679594,-0.3475055751416941,0.7282115308237134,0.9597468843495209,9.903287598095222,307,0.346223396255086
dDGS1,fb_sim,-0.21500584234219555,0.28963077544313937,-0.7423446006842106,0.45787857562837786,0.9579551454607869,9.746502224098435,307,0.34718328554858
dGmV,lex_net,0.09000844957799885,0.08370674300000777,1.0752831415025967,0.28224798161447495,0.009665062068152399,0.5277016012921675,307,0.015570062973275345
dGmV,fb_sent,-0.05540072357237187,0.06922012681784737,-0.8003557074976007,0.4235047355769729,0.01198969581259694,0.65107067184494,307,0.012364360675564678
dGmV,fb_sim,-0.0035331299000066,0.07832152984819582,-0.045110583346042586,0.9640191657211666,0.010772131130568269,0.5758998699143861,307,0.010505117997891222
